Draft ID: 283511811346
Patch: v8.2
Date: 2/26/2026, 7:40:23 PM
Total Pokemon Sold: 89

Player,Starting Money,Remaining Money
awesome,1200,-17600
Beastly,2700,-17000
Certified,0,-20000
DJSnor,2300,-15400
freez,700,-18600
Jason,0,-20000
Jeans,1300,-17400
Kagami,0,-20000
KCH42,300,-19400
salmon,3300,-13400
Xyle,900,-18200

Order,Pokemon,Drafted By,Cost
1,Blitzle,salmon,1000
2,Starly,Jeans,3100
3,Sewaddle,Kagami,2000
4,Trubbish,Kagami,1800
5,Plusle and Minun,KCH42,3100
6,Meowth,Kagami,2300
7,Ponyta,Certified,2600
8,Helioptile,Beastly,2900
9,Hawlucha,salmon,3000
10,Miltank,salmon,2900
11,Shuppet,Xyle,1300
12,Zigzagoon,KCH42,4800
13,Morelull,awesome,2700
14,Minccino,Xyle,1300
15,Vulpix,DJSnor,3900
16,Diglett,Certified,2100
17,Remoraid,awesome,2100
18,Joltik,Jeans,1200
19,Bagon,salmon,2200
20,Numel,Jeans,1300
21,Poliwag,DJSnor,3300
22,Growlithe,salmon,3000
23,Lotad,Certified,3200
24,Fennekin,freez,3900
25,Skiddo,Beastly,3000
26,Treecko,Kagami,2200
27,Spoink,Xyle,2600
28,Onix,Jeans,2400
29,Houndour,Beastly,2100
30,Mudkip,Jason,5800
31,Tinkatink,KCH42,3700
32,Hippopotas,Certified,1800
33,Buizel,Kagami,1300
34,Snorunt,Xyle,1900
35,Sizzlipede,Jason,1700
36,Burmy,Certified,1900
37,Cetoddle,salmon,1600
38,Inkay,awesome,3000
39,Hatenna,Jeans,1500
40,Tirtouga,Beastly,2900
41,Bunnelby,KCH42,1400
42,Tyrunt,DJSnor,2400
43,Gothita,Kagami,1400
44,Bombirdier,Kagami,2200
45,Fletchling,Beastly,2000
46,Stufful,DJSnor,2700
47,Litten,Xyle,2500
48,Rowlet,Jeans,3100
49,Popplio,freez,4200
50,Surskit,Jason,2000
51,Makuhita,Certified,2900
52,Piplup,Kagami,3900
53,Gossifleur,freez,1800
54,Teddiursa,freez,2500
55,Cufant,Xyle,2800
56,Wattrel,awesome,3000
57,Litleo,KCH42,600
58,Staryu,freez,2800
59,Emolga,Certified,2700
60,Minior,awesome,1900
61,Ralts,Jason,4500
62,Fidough,Beastly,2000
63,Skrelp,Jeans,1900
64,Shellder,Xyle,900
65,Clobbopus,Xyle,1100
66,Snubbull,KCH42,1400
67,Yanma,freez,1200
68,Oddish,DJSnor,2800
69,Magnemite,Jason,3700
70,Goomy,freez,2900
71,Lillipup,awesome,1300
72,Sandshrew,Jeans,1300
73,Mareep,Xyle,1300
74,Rockruff,DJSnor,1200
75,Greavard,Jeans,1200
76,Zubat,KCH42,1300
77,Cacnea,Jason,2300
78,Corsola,salmon,3000
79,Blipbug,Jeans,900
80,Noibat,Jeans,800
81,Tynamo,DJSnor,1400
82,Murkrow,Kagami,2900
83,Turtonator,awesome,1400
84,Cutiefly,Xyle,3400
85,Electrike,KCH42,3400
86,Yamper,awesome,3400
87,Egg,Beastly,2400
88,Egg,Beastly,2400
89,Egg,Certified,2800
