Draft ID: 779109203258
Patch: v8.2
Date: 2/27/2026, 10:34:28 PM
Total Pokemon Sold: 80

Player,Starting Money,Remaining Money
Awesome,20000,0
Djsnor,20000,0
Freez,20000,0
Jason,20000,0
Johan,20000,0
Kagami,20000,0
Lightsol,20000,0
Pratt,20000,0
Salmon,20000,1000
Ven,20000,0

Order,Pokemon,Drafted By,Cost
1,Exeggcute,Kagami,3100
2,Gothita,Kagami,1600
3,Klawf,Djsnor,1600
4,Skrelp,Ven,1700
5,Clobbopus,Lightsol,1800
6,Makuhita,Pratt,2800
7,Sandile,Johan,3900
8,Tynamo,Djsnor,1600
9,Oddish,Kagami,3000
10,Growlithe,Salmon,3300
11,Chinchou,Pratt,3500
12,Shinx,Lightsol,2300
13,Applin,Lightsol,2800
14,Geodude,Freez,1600
15,Fuecoco,Ven,3200
16,Shuppet,Salmon,1000
17,Sandshrew,Lightsol,3000
18,Ralts,Ven,5100
19,Gossifleur,Awesome,2600
20,Yamper,Johan,1500
21,Fidough,Lightsol,2800
22,Helioptile,Salmon,2500
23,Tinkatink,Salmon,3300
24,Houndour,Pratt,1300
25,Murkrow,Djsnor,1500
26,Fletchling,Johan,1800
27,Horsea,Djsnor,3100
28,Fennekin,Ven,3800
29,Litwick,Jason,4000
30,Wooper,Djsnor,3300
31,Mudkip,Ven,6200
32,Bagon,Freez,1900
33,Rolycoly,Kagami,2200
34,Magnemite,Jason,3500
35,Sandygast,Freez,1600
36,Noibat,Lightsol,1100
37,Dewpider,Awesome,3400
38,Inkay,Awesome,2900
39,Chewtle,Jason,4000
40,Zorua,Djsnor,1200
41,Zigzagoon,Freez,4100
42,Egg,Johan,1800
43,Snorunt,Djsnor,1000
44,Carvanha,Djsnor,1400
45,Stufful,Djsnor,3300
46,Buizel,Kagami,1400
47,Joltik,Salmon,700
48,Drilbur,Kagami,3300
49,Swinub,Salmon,2100
50,Cetoddle,Johan,2200
51,Mudbray,Jason,3700
52,Stantler,Salmon,1500
53,Sneasel,Salmon,2500
54,Cufant,Johan,2100
55,Pansear,Johan,900
56,Porygon,Johan,3000
57,Staryu,Freez,3200
58,Corphish,Awesome,1800
59,Meowth,Pratt,1900
60,Varoom,Lightsol,2800
61,Slakoth,Djsnor,2000
62,Clamperl,Salmon,2100
63,Greavard,Pratt,1700
64,Goomy,Awesome,1500
65,Miltank,Freez,1400
66,Aron,Awesome,1300
67,Lillipup,Awesome,1100
68,Starly,Pratt,2200
69,Salandit,Freez,1800
70,Litten,Johan,2800
71,Bulbasaur,Pratt,4500
72,Spheal,Lightsol,3400
73,Castform,Freez,4400
74,Totodile,Kagami,2800
75,Treecko,Jason,2100
76,Spritzee,Jason,2700
77,Remoraid,Pratt,2100
78,Smeargle,Kagami,2600
79,Weedle,Awesome,2700
80,Rowlet,Awesome,2700
