Draft ID: 202461736365
Patch: v8.2
Date: 28.2.2026, 22:03:46
Total Pokemon Sold: 64

Player,Starting Money,Remaining Money
Angelee,200,-19600
awesome,0,-20000
freez,0,-21200
Jeans,0,-20000
livii,0,-20000
MountainDrew,2900,-14200
Pratt,0,-20000
salmon,0,-20000

Order,Pokemon,Drafted By,Cost
1,Sandygast,MountainDrew,2000
2,Smoliv,Jeans,1600
3,Piplup,Pratt,4200
4,Meditite,MountainDrew,2500
5,Turtonator,awesome,2200
6,Croagunk,Angelee,3700
7,Phantump,salmon,2500
8,Staryu,freez,2400
9,Hippopotas,livii,2200
10,Snivy,awesome,2900
11,Cutiefly,Angelee,3000
12,Carvanha,Angelee,1600
13,Sandshrew,freez,2300
14,Treecko,Pratt,1800
15,Cubone,Jeans,1500
16,Chespin,freez,2900
17,Tentacool,Jeans,2600
18,Onix,Jeans,3000
19,Grubbin,MountainDrew,2200
20,Zigzagoon,Pratt,4200
21,Snorunt,MountainDrew,1900
22,Wishiwashi,awesome,2700
23,Beldum,Angelee,2900
24,Charmander,MountainDrew,3000
25,Cufant,livii,3100
26,Lotad,MountainDrew,2700
27,Hatenna,Jeans,2200
28,Trubbish,livii,1100
29,Cetoddle,salmon,2100
30,Elgyem,salmon,1100
31,Surskit,salmon,2500
32,Archen,livii,5300
33,Numel,Pratt,2600
34,Poochyena,awesome,2700
35,Minior,MountainDrew,2800
36,Dewpider,livii,2900
37,Joltik,awesome,2000
38,Horsea,salmon,2100
39,Bounsweet,Angelee,2000
40,Magnemite,Jeans,3900
41,Spritzee,salmon,2900
42,Shellder,Jeans,1300
43,Remoraid,freez,1200
44,Sandile,salmon,4000
45,Turtwig,livii,3200
46,Rookidee,Angelee,2400
47,Slakoth,awesome,1300
48,Chinchou,freez,2800
49,Larvitar,livii,2200
50,Mudkip,freez,4000
51,Weedle,awesome,800
52,Blipbug,Pratt,2100
53,Applin,Jeans,2100
54,Inkay,awesome,2300
55,Smeargle,salmon,700
56,Machop,Pratt,1900
57,Snubbull,salmon,2100
58,Oddish,Jeans,1800
59,Egg,freez,1200
60,Buneary,Angelee,1000
61,Plusle and Minun,Pratt,3200
62,Rockruff,Angelee,3200
63,Houndour,awesome,3100
64,Amaura,freez,3200
