Draft ID: 334426638709
Patch: v8.2
Date: 2/28/2026, 9:17:49 PM
Total Pokemon Sold: 104

Player,Starting Money,Remaining Money
Angelee,18900,-600
Certified,18600,-1400
Cheapd,20000,0
Christian,20000,300
Djsnor,18100,-600
Jason,18800,-1200
Jeans,20000,0
Justin,20000,0
Kagami,20000,0
Mfrazz,20000,0
Mountaindrew,16800,-3200
zenus,20000,1200
Zuun,15700,-4300

Order,Pokemon,Drafted By,Cost
1,Slakoth,Djsnor,1900
2,Blitzle,Angelee,1100
3,Buizel,Mountaindrew,1500
4,Trubbish,Jason,1200
5,Sandygast,Mountaindrew,1700
6,Pansear,Certified,1400
7,Magnemite,Jason,4000
8,Litwick,Jeans,5000
9,Mareep,Kagami,1900
10,Corphish,Certified,2200
11,Spritzee,Christian,3500
12,Piplup,Jeans,3900
13,Exeggcute,Djsnor,3600
14,Shellder,Djsnor,1100
15,Teddiursa,Angelee,3100
16,Surskit,Mfrazz,2800
17,Chinchou,Mfrazz,3800
18,Swinub,Mfrazz,2900
19,Nincada,Cheapd,1700
20,Wooper,Djsnor,3300
21,Joltik,Mfrazz,800
22,Charmander,Djsnor,4100
23,Rotom,Certified,4600
24,Tyrunt,Angelee,3100
25,Squirtle,Kagami,3200
26,Mudbray,Jason,4000
27,Poochyena,Jason,3000
28,Remoraid,Justin,1400
29,Carvanha,Angelee,1700
30,Wingull,Cheapd,3100
31,Weedle,Zuun,1500
32,Turtonator,Kagami,2700
33,Sableye,Certified,2500
34,Croagunk,Angelee,3200
35,Sandile,Jeans,3400
36,Bunnelby,Cheapd,2300
37,Smoliv,Kagami,2500
38,Popplio,Zuun,3400
39,Meditite,Cheapd,3100
40,Venipede,Jeans,1400
41,Paras,Justin,2600
42,Chimchar,Zuun,4000
43,Pikipek,Certified,2800
44,Rookidee,Angelee,3000
45,Gastly,Mountaindrew,3000
46,Mawile,Djsnor,3000
47,Cutiefly,Jason,2900
48,Wishiwashi,Christian,2900
49,Snivy,zenus,3000
50,Hawlucha,Mountaindrew,3500
51,Lotad,Mfrazz,2900
52,Bagon,Mountaindrew,2400
53,Spheal,Justin,3400
54,Litten,Mountaindrew,3400
55,Nosepass,Christian,2200
56,Burmy,Justin,900
57,Makuhita,Certified,2600
58,Hatenna,Jeans,2300
59,Shinx,Jeans,2400
60,Staryu,Kagami,2500
61,Elgyem,Christian,1600
62,Shroodle,Cheapd,1700
63,Pancham,Djsnor,1700
64,Tympole,Jason,3000
65,Cacnea,Jeans,1600
66,Tentacool,zenus,2000
67,Snover,Justin,2000
68,Smeargle,Certified,1500
69,Porygon,zenus,3200
70,Beldum,Mfrazz,2900
71,Gossifleur,Cheapd,2000
72,Fuecoco,Mfrazz,3900
73,Shuppet,Justin,1400
74,Aron,Cheapd,2600
75,Dewpider,Christian,3000
76,Miltank,Christian,2900
77,Stonjourner,Mountaindrew,1000
78,Falinks,zenus,1400
79,Zubat,Christian,1600
80,Rowlet,Kagami,3500
81,Flabebe,Cheapd,2100
82,Emolga,zenus,2800
83,Stufful,Justin,2200
84,Litleo,Christian,2000
85,Sizzlipede,Angelee,2100
86,Numel,zenus,1500
87,Tinkatink,Mountaindrew,3500
88,Frillish,Justin,2300
89,Cetoddle,Justin,1700
90,Cubone,Kagami,1600
91,Tirtouga,zenus,2000
92,Corsola,Kagami,2100
93,Nymble,Angelee,1000
94,Helioptile,Zuun,2000
95,Solosis,Angelee,1200
96,Egg,Jason,1900
97,Egg,Justin,2100
98,Egg,Certified,2400
99,Shroomish,Zuun,2100
100,Espurr,zenus,1400
101,Larvitar,zenus,1500
102,Gothita,Cheapd,1400
103,Applin,Zuun,2700
104,Zigzagoon,Zuun,4300
