Draft ID: 588294734248
Patch: v8.3
Date: 3/9/2026, 4:59:25 PM
Total Pokemon Sold: 56

Player,Starting Money,Remaining Money
Beastly,20000,1400
freez,20000,0
Jason,20000,1000
KagamiFukuro,20000,0
KCH42,20000,1200
livii,20000,0
SALMON,20000,1200

Order,Pokemon,Drafted By,Cost
1,Munchlax,SALMON,3200
2,Sizzlipede,freez,2200
3,Poochyena,Jason,3000
4,Tentacool,KagamiFukuro,2600
5,Noibat,freez,1600
6,Litleo,SALMON,1500
7,Aron,Jason,2700
8,Shuppet,livii,1600
9,Cubone,KagamiFukuro,1700
10,Tynamo,livii,1800
11,Staryu,KCH42,2700
12,Gible,SALMON,4200
13,Snubbull,freez,1900
14,Archen,Beastly,5300
15,Inkay,freez,2600
16,Skiddo,SALMON,3000
17,Chespin,freez,3500
18,Sandygast,livii,1600
19,Zorua,KCH42,1900
20,Flabebe,livii,2400
21,Trapinch,livii,2800
22,Froakie,Beastly,3700
23,Surskit,SALMON,2800
24,Meowth,KagamiFukuro,2300
25,Tinkatink,KCH42,3700
26,Charcadet,Beastly,5900
27,Shellder,freez,1300
28,Misdreavus,KCH42,2700
29,Sneasel,SALMON,2700
30,Venipede,freez,1400
31,Houndour,KagamiFukuro,1500
32,Mawile,livii,2000
33,Pikipek,KCH42,1700
34,Chingling,livii,2100
35,Exeggcute,KagamiFukuro,3300
36,Pichu,livii,2200
37,Gastly,Jason,1500
38,Shinx,KCH42,2300
39,Charmander,KCH42,2500
40,Roggenrola,SALMON,1400
41,Stantler,livii,3500
42,Scatterbug,Jason,2500
43,Remoraid,freez,1300
44,Bonsly,freez,1300
45,Totodile,Jason,3700
46,Treecko,KagamiFukuro,3100
47,Popplio,Jason,3000
48,Spheal,freez,2900
49,Grubbin,Jason,1300
50,Lillipup,KCH42,1300
51,Clauncher,KagamiFukuro,1500
52,Swirlix,Beastly,2400
53,Wingull,KagamiFukuro,1500
54,Cutiefly,KagamiFukuro,2500
55,Sableye,Jason,1300
56,Growlithe,Beastly,1300
