Draft ID: 321011357062
Patch: v8.3
Date: 3/12/2026, 9:52:32 PM
Total Pokemon Sold: 80

Player,Starting Money,Remaining Money
Beastly,20000,0
Boxer,20000,200
HariQr,20000,0
Hoppity,20000,100
Jason,20000,400
Jeans,20000,0
Johan,20000,2000
Livii,20000,0
Pratt,20000,0
Toshi,20000,0

Order,Pokemon,Drafted By,Cost
1,Rotom,HariQr,5200
2,Elekid,Pratt,2500
3,Salandit,Livii,2400
4,Popplio,Livii,4100
5,Chinchou,Jason,3400
6,Zorua,Jeans,2200
7,Tyrunt,Pratt,2900
8,Farfetch'd-Galar,Livii,2900
9,Zubat,Boxer,2000
10,Wishiwashi,Boxer,3000
11,Swinub,Jeans,2700
12,Cottonee,Pratt,3500
13,Onix,Boxer,2200
14,Clauncher,Jason,2300
15,Mareep,Johan,2000
16,Egg,HariQr,2600
17,Trubbish,Livii,1300
18,Carvanha,Johan,2000
19,Greavard,Jeans,2300
20,Snorunt,Hoppity,1600
21,Shinx,Toshi,2600
22,Gothita,Pratt,1200
23,Yanma,Toshi,2300
24,Voltorb,Livii,2700
25,Pichu,Beastly,2600
26,Pansear,Jeans,1100
27,Wingull,Johan,3100
28,Porygon,HariQr,4400
29,Tyrogue,Pratt,3100
30,Dewpider,Pratt,3400
31,Grubbin,Jeans,2100
32,Cubone,HariQr,1500
33,Diglett,Hoppity,1500
34,Flabebe,Boxer,3500
35,Budew,Beastly,3300
36,Chingling,Livii,2000
37,Buizel,Toshi,1600
38,Emolga,Livii,3000
39,Goomy,Hoppity,2300
40,Corphish,Jeans,1700
41,Blitzle,Hoppity,900
42,Jangmo-o,Jeans,2800
43,Electrike,Boxer,1200
44,Honedge,Hoppity,5400
45,Sewaddle,Jeans,1800
46,Phantump,Johan,2500
47,Ralts,Hoppity,4700
48,Paras,Boxer,1800
49,Fennekin,Boxer,3800
50,Charcadet,Toshi,5700
51,Minior,Jeans,3300
52,Rookidee,Johan,2400
53,Fletchling,Beastly,2600
54,Riolu,Beastly,5500
55,Nosepass,Jason,1600
56,Treecko,HariQr,2600
57,Frillish,HariQr,3700
58,Noibat,Jason,800
59,Gastly,Beastly,1400
60,Hatenna,Livii,1600
61,Buneary,Johan,600
62,Froakie,Hoppity,3500
63,Cufant,Pratt,1800
64,Stantler,Pratt,1600
65,Castform,Beastly,4600
66,Houndour,Jason,1200
67,Espurr,Johan,2000
68,Gossifleur,Boxer,2300
69,Amaura,Johan,1100
70,Smeargle,Jason,600
71,Remoraid,Toshi,900
72,Swirlix,Jason,2200
73,Poochyena,Jason,2000
74,Smoliv,Jason,2400
75,Larvitar,Jason,3100
76,Helioptile,Johan,1700
77,Ponyta,Toshi,2700
78,Oddish,Johan,600
79,Skorupi,Toshi,2100
80,Applin,Toshi,2100
