Draft ID: 160282940392
Patch: v8.3
Date: 3/14/2026, 6:41:46 PM
Total Pokemon Sold: 80

Player,Starting Money,Remaining Money
Certified,0,-20000
cheapd,0,-20000
daddl,0,-20000
freez,1400,-17200
Jason,0,-20000
Jeans,0,-20000
Justin,0,-20000
KCH42,1000,-18000
livii,0,-20000
zuun,2200,-15600

Order,Pokemon,Drafted By,Cost
1,Bagon,cheapd,3200
2,Meditite,Jeans,2800
3,Nosepass,daddl,2200
4,Sandshrew,Certified,2500
5,Paras,Justin,1800
6,Stufful,KCH42,2000
7,Geodude,Jeans,2000
8,Gastly,zuun,2500
9,Gothita,freez,1900
10,Exeggcute,Jason,3000
11,Amaura,KCH42,1700
12,Snorunt,Justin,1300
13,Cubone,daddl,1800
14,Shroodle,livii,2400
15,Bonsly,livii,1400
16,Treecko,Certified,2700
17,Poochyena,Jason,3000
18,Roggenrola,daddl,1800
19,Drifloon,livii,1900
20,Applin,Justin,3100
21,Wingull,cheapd,3600
22,Tympole,KCH42,3800
23,Litten,Jeans,3200
24,Wishiwashi,daddl,3000
25,Tyrogue,livii,2700
26,Poliwag,Certified,3000
27,Solosis,Justin,1500
28,Salandit,freez,2900
29,Impidimp,livii,2200
30,Machop,Certified,2100
31,Blipbug,livii,2400
32,Trubbish,Justin,1400
33,Zubat,Justin,2000
34,Tirtouga,livii,2300
35,Numel,cheapd,2800
36,Starly,KCH42,3200
37,Clamperl,Justin,2100
38,Bounsweet,Justin,2700
39,Skrelp,KCH42,1400
40,Rowlet,Jeans,2900
41,Fidough,Justin,2600
42,Zorua,Jeans,1800
43,Mawile,Jeans,2600
44,Remoraid,Jeans,1900
45,Wooper,daddl,3000
46,Totodile,livii,3100
47,Tinkatink,KCH42,3600
48,Feebas,freez,1600
49,Torchic,cheapd,3000
50,Magnemite,Jason,3700
51,Scatterbug,freez,3100
52,Growlithe,freez,3000
53,Spheal,Jeans,2800
54,Trapinch,zuun,2900
55,Mankey,daddl,2400
56,Lotad,Jason,2900
57,Drilbur,freez,3600
58,Mudbray,Jason,3600
59,Inkay,freez,2500
60,Elekid,zuun,2500
61,Noibat,daddl,2000
62,Shinx,Certified,2500
63,Nymble,daddl,1700
64,Chespin,cheapd,2600
65,Clobbopus,Justin,1500
66,Purrloin,Certified,1500
67,Pichu,cheapd,2400
68,Fletchling,Certified,2200
69,Popplio,zuun,3800
70,Nickit,KCH42,1500
71,Croagunk,zuun,2100
72,Misdreavus,Jason,2200
73,Goomy,daddl,2100
74,Mareep,KCH42,1800
75,Joltik,livii,1600
76,Minccino,Jason,1600
77,Castform,zuun,2500
78,Flabebe,Certified,3500
79,Cacnea,cheapd,2400
80,Snubbull,zuun,1500
