Draft ID: 522231454218
Patch: v8.3
Date: 3/17/2026, 3:41:01 PM
Total Pokemon Sold: 56

Player,Starting Money,Remaining Money
awesome,100,-19800
Beastly,500,-19000
Jason,1700,-16600
Johan,3600,-12800
KCH42,0,-20000
livii,0,-20000
Xyle,900,-18200

Order,Pokemon,Drafted By,Cost
1,Snorunt,KCH42,1800
2,Yanma,Johan,2000
3,Gothita,KCH42,900
4,Emolga,awesome,3100
5,Zigzagoon,KCH42,5000
6,Pikipek,Xyle,2100
7,Mantyke,awesome,2700
8,Solosis,Xyle,1000
9,Fuecoco,Xyle,3500
10,Cutiefly,livii,2600
11,Minccino,livii,1600
12,Yamper,livii,1600
13,Popplio,KCH42,3800
14,Grubbin,Xyle,1500
15,Litten,livii,3300
16,Lillipup,KCH42,1900
17,Rotom,Beastly,5000
18,Geodude,Xyle,1500
19,Electrike,Johan,1600
20,Treecko,Jason,2300
21,Riolu,Beastly,5000
22,Salandit,KCH42,2200
23,Larvitar,Johan,1900
24,Mawile,livii,2000
25,Wattrel,livii,3100
26,Murkrow,livii,1600
27,Sizzlipede,Jason,2000
28,Phantump,livii,2600
29,Skrelp,KCH42,1700
30,Beldum,Beastly,2800
31,Litleo,awesome,1600
32,Hatenna,livii,1600
33,Chewtle,Jason,3000
34,Timburr,awesome,2900
35,Shuppet,Johan,1400
36,Sewaddle,Xyle,1500
37,Croagunk,Jason,3500
38,Cacnea,Xyle,1800
39,Lotad,Beastly,3000
40,Tynamo,Xyle,1000
41,Chingling,awesome,2200
42,Tentacool,Johan,2900
43,Mime Jr,Jason,1800
44,Voltorb,Johan,2200
45,Remoraid,Xyle,1000
46,Pancham,Xyle,1100
47,Makuhita,Johan,2400
48,Houndour,Xyle,2200
49,Pansear,Xyle,900
50,Magby,Johan,2000
51,Scatterbug,Jason,2800
52,Spheal,KCH42,2700
53,Plusle and Minun,Jason,2900
54,Snivy,awesome,3700
55,Joltik,Beastly,3700
56,Blipbug,awesome,3700
